Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)핀인사이트,⭐취업연계⭐핀테크 특화 실무프로젝트 기반 생성형 AI 데이터분석 과정 2기,"서울 영등포구
경력무관
학력무관
교육생",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53772306&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)에듀캔버스,데이터분석 및 웹기획 담당자 채용,"경기 성남시 수정구
경력 2~10년
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53625302&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,씨메스로보틱스(주),데이터 정리 및 분석 지원(계약직),"서울 강남구
경력무관
초대졸↑
계약직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53630788&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)다이트랩,"[다이트랩] SQL, Python 활용 데이터분석 경력직 채용(3년이상)","서울 강남구
경력3년↑
초대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53677069&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 병역특례 대상자 모집,"서울 강남구
경력무관
학력무관
전문연구요원·산업기능요원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53397751&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,크림(주),[KREAM] 데이터 분석가 모집,"경기 성남시 분당구
경력
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53789273&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,닐슨아이큐서비스코리아(유),[닐슨아이큐코리아] 리테일 데이터/카테고리 분석 (경력) 채용,"서울 중구
경력5년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53762480&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,주식회사 리만코리아,데이터 분석 담당 (과장급),"서울 강남구
경력 5~12년
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53659383&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)카카오스타일,데이터 분석가,"경기 성남시 분당구
경력5년↑
학력무관
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53421027&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
Saramin,(주)퍼즐데이터,[퍼즐데이터] 데이터분석가 채용(경력),"서울 강남구
경력1년↑
대졸↑
정규직",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53807508&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=8fcc1423-ec42-44e5-8c3a-36e1c51150a3
